name,habitat,food,nesting,behaviour,conservation,length,MaxLength,wingspan,MaxWingspan,weight,AvgWeight,Clutch Size,MinClutch,MaxClutch,number of broods,MaxBrood,Egg Length,MaxEggL,Egg Width,MaxEggW,Incubation period,MaxIncubation,MinIncubation,nestling period,MinNestling,MaxNestling,order 2,family 2
Short-billed Dowitcher,Marsh,Insects,Ground,Probing,Least Concern,25-29,29,,,90-120,105.0,4,4,4,,,,,,,,,,,,, CHARADRIIFORMES, SCOLOPACIDAE
Snow Bunting,Grassland,Seeds,Ground,Ground Forager,Least Concern,15,15, 30, 30,31-46,38.5,2-7,2,7,,,,,,,,,,,,, PASSERIFORMES, CALCARIIDAE
Solitary Sandpiper,Marsh,Insects,Tree,Probing,Least Concern,19-23,23,,,31-65,48.0,3-5,3,5,,,,,,,,,,,,, CHARADRIIFORMES, SCOLOPACIDAE
Ruffed Grouse,Forest,Omnivore,Ground,Foliage Gleaner,Least Concern,40-50,50, 50-64,64,450-750,600.0,9-14,9,14, 1 , 1 ,3.78-4.14,4.14,2.9-3,3,23-24,24,23,1,1,1, GALLIFORMES, PHASIANIDAE
Sooty Grouse,Forest,Plants,Ground,Ground Forager,Least Concern,40-50,50,,,750-1300,1025.0,,,,,,,,,,,,,,,, GALLIFORMES, PHASIANIDAE
Red-eyed Vireo,Forest,Insects,Tree,Foliage Gleaner,Least Concern,12-13,13, 23-25,25,12-26,19.0,1-5,1,5, 1-2 ,2 ,2-2.4,2.4,1.2-2.4,2.4,11-15,15,11,10-12,10,12, PASSERIFORMES, VIREONIDAE
Rock Ptarmigan,Mountains,Plants,Ground,Ground Forager,Least Concern,32-40,40,,,440-640,540.0,3-13,3,13,,,,,,,,,,,,, GALLIFORMES, PHASIANIDAE
Roseate Tern,Shore-line,Fish,Ground,Surface Dive,Least Concern,33-41,41,,,90-140,115.0,1-5,1,5,,,,,,,,,,,,, CHARADRIIFORMES, LARIDAE
Ring-necked Duck,Lake/Pond,Plants,Ground,Surface Dive,Least Concern,39-46,46, 62-63,63,490-910,700.0,6-14,6,14, 1 , 1 ,1.9-2.4,2.4,1.4-1.7,1.7,25-29,29,25,1-2,1,2, ANSERIFORMES, ANATIDAE
Rock Sandpiper,Shore-line,Insects,Ground,Probing,Least Concern,18-24,24, 39, 39,57-130,93.5,,,,,,,,,,,,,,,, CHARADRIIFORMES, SCOLOPACIDAE
Red-necked Grebe,Lake/Pond,Fish,Floating,Surface Dive,Least Concern,43-56,56, 61-88,88,800-1600,1200.0,1-9,1,9,,,,,,,,,,,,, PODICIPEDIFORMES, PODICIPEDIDAE
Rufous-winged Sparrow,Scrub,Insects,Shrub,Ground Forager,Least Concern,13-14,14, 21, 21,13-17,15.0,2-5,2,5,,,,,,,,,,,,, PASSERIFORMES, EMBERIZIDAE
Ruby-crowned Kinglet,Forest,Insects,Tree,Foliage Gleaner,Least Concern,9-11,11, 16-18,18,5-10,7.5,5-12,5,12, 1 , 1 ,1.3-1.5,1.5,1-1.2,1.2,12-14,14,12,16-18,16,18, PASSERIFORMES, REGULIDAE
Razorbill,Ocean,Fish,Cliff,Surface Dive,Least Concern,43,43, 63-68,68,505-890,697.5,,,,,,,,,,,,,,,, CHARADRIIFORMES, ALCIDAE
Ruby-throated Hummingbird,Open Woodland,Nectar,Tree,Hovering,Least Concern,7-9,9, 8-11,11,2-6,4.0,1-3,1,3, 1-2 ,2 ,1.2-1.4,1.4,0.8-0.9,0.9,12-14,14,12,18-22,18,22, APODIFORMES, TROCHILIDAE
Red-shouldered Hawk,Forest,Mammals,Tree,Soaring,Least Concern,43-61,61, 94-111,111,486-774,630.0,2-5,2,5, 1 , 1 ,5.24-5.65,5.65,4.2-4.4,4.4,32-40,40,32,42-49,42,49, ACCIPITRIFORMES, ACCIPITRIDAE
Ring-necked Pheasant,Grassland,Omnivore,Ground,Ground Forager,Least Concern,50-70,70, 56-86,86,500-3000,1750.0,7-15,7,15, 1-2 ,2 ,4.1-4.9,4.9,3.3-3.8,3.8,23-28,28,23,,,, GALLIFORMES, PHASIANIDAE
Rufous-crowned Sparrow,Scrub,Seeds,Ground,Ground Forager,Least Concern,15-16,16, 21, 21,16-21,18.5,2-5,2,5, 1-2 ,2 ,,,,,,,,,,, PASSERIFORMES, EMBERIZIDAE
Redhead,Lake/Pond,Plants,Floating,Surface Dive,Least Concern,42-54,54, 75-79,79,630-1500,1065.0,,,,,,,,,,,,,,,, ANSERIFORMES, ANATIDAE
Red-footed Booby,Ocean,Fish,Shrub,Aerial Dive,Least Concern,69-79,79, 152, 152,850-1100,975.0,1,1,1,,,,,,,,,,,,, SULIFORMES, SULIDAE
Rhinoceros Auklet,Ocean,Fish,Burrow,Surface Dive,Least Concern,28-29,29, 59-62,62,350-620,485.0,,,,,,,,,,,,,,,, CHARADRIIFORMES, ALCIDAE
Ross's Goose,Lake/Pond,Plants,Ground,Ground Forager,Least Concern,57-64,64, 114, 114,860-2040,1450.0,2-6,2,6,,,,,,,,,,,,, ANSERIFORMES, ANATIDAE
Red-winged Blackbird,Marsh,Insects,Shrub,Ground Forager,Least Concern,17-23,23, 31-40,40,32-77,54.5,2-4,2,4, 1-2 ,2 ,2.2-2.7,2.7,1.6-1.9,1.9,11-13,13,11,11-14,11,14, PASSERIFORMES, ICTERIDAE
Ross's Gull,Marsh,Insects,Ground,Dabbler,Least Concern,29-31,31, 90-100,100,140-250,195.0,,,,,,,,,,,,,,,, CHARADRIIFORMES, LARIDAE
Royal Tern,Shore-line,Fish,Ground,Aerial Dive,Least Concern,45-50,50, 125-135,135,350-450,400.0,,,,,,,,,,,,,,,, CHARADRIIFORMES, LARIDAE
Red Crossbill,Forest,Seeds,Tree,Foliage Gleaner,Least Concern,,,,,,,,,,,,,,,,,,,,,, PASSERIFORMES, FRINGILLIDAE
Red-faced Warbler,Forest,Insects,Ground,Foliage Gleaner,Least Concern,14,14, 21, 21,8-11,9.5,3-6,3,6,,,,,,,,,,,,, PASSERIFORMES, PARULIDAE
Rock Wren,Mountains,Insects,Ground,Ground Forager,Least Concern,12-15,15, 23, 23,15-18,16.5,1-10,1,10,,,,,,,,,,,,, PASSERIFORMES, TROGLODYTIDAE
Ring-billed Gull,Lake/Pond,Omnivore,Ground,Ground Forager,Least Concern,43-54,54, 105-117,117,300-700,500.0,2-4,2,4, 1 , 1 ,5-6.6,6.6,3.6-4.6,4.6,20-31,31,20,4-5,4,5, CHARADRIIFORMES, LARIDAE
Rufous Hummingbird,Open Woodland,Nectar,Tree,Hovering,Least Concern,7-9,9, 11, 11,2-5,3.5,2-3,2,3, 1 , 1 ,1.3,1.3,0.8,0.8,15-17,17,15,15-19,15,19, APODIFORMES, TROCHILIDAE
Red-throated Loon,Lake/Pond,Fish,Ground,Surface Dive,Least Concern,53-69,69, 100-120,120,1000-2700,1850.0,1-3,1,3,,,,,,,,,,,,, GAVIIFORMES, GAVIIDAE
Ruddy Turnstone,Shore-line,Insects,Ground,Ground Forager,Least Concern,21-16,16, 50-57,57,84-190,137.0,,,,,,,,,,,,,,,, CHARADRIIFORMES, SCOLOPACIDAE
Red Knot,Shore-line,Insects,Ground,Ground Forager,Least Concern,23-25,25, 52-56,56,135,135,,,,,,,,,,,,,,,, CHARADRIIFORMES, SCOLOPACIDAE
Ruddy Duck,Marsh,Insects,Ground,Surface Dive,Least Concern,35-43,43, 56-62,62,300-850,575.0,3-13,3,13, 1-2 ,2 ,5.9-6.8,6.8,4.3-4.8,4.8,20-26,26,20,1,1,1, ANSERIFORMES, ANATIDAE
Rose-breasted Grosbeak,Forest,Insects,Tree,Foliage Gleaner,Least Concern,18-21,21, 29-33,33,39-49,44.0,1-5,1,5, 1-2 ,2 ,2-2.7,2.7,1.6-1.9,1.9,11-14,14,11,9-12,9,12, PASSERIFORMES, CARDINALIDAE
Red-breasted Merganser,Lake/Pond,Fish,Ground,Surface Dive,Least Concern,51-64,64, 66-74,74,800-1350,1075.0,,,,,,,,,,,,,,,, ANSERIFORMES, ANATIDAE
Rough-legged Hawk,Grassland,Mammals,Cliff,Aerial Dive,Least Concern,47-52,52, 132-138,138,715-1400,1057.5,1-7,1,7,,,,,,,,,,,,, ACCIPITRIFORMES, ACCIPITRIDAE
Rusty Blackbird,Forest,Insects,Tree,Ground Forager,Vulnerable,21-25,25, 37, 37,47-80,63.5,3-6,3,6,,,,,,,,,,,,, PASSERIFORMES, ICTERIDAE
Upland Sandpiper,Grassland,Insects,Ground,Ground Forager,Least Concern,28-32,32, 47, 47,97-226,161.5,2-7,2,7,,,,,,,,,,,,, CHARADRIIFORMES, SCOLOPACIDAE
Tundra Swan,Lake/Pond,Plants,Ground,Dabbler,Least Concern,120-147,147, 168, 168,3800-10500,7150.0,3-5,3,5,,,,,,,,,,,,, ANSERIFORMES, ANATIDAE
Townsend's Warbler,Forest,Insects,Tree,Foliage Gleaner,Least Concern,12,12, 20, 20,7-11,9.0,3-7,3,7,,,,,,,,,,,,, PASSERIFORMES, PARULIDAE
Thayer's Gull,Shore-line,Omnivore,Cliff,Soaring,Least Concern,52-60,60,,,1000,1000,1-4,1,4,,,,,,,,,,,,, CHARADRIIFORMES, LARIDAE
Tufted Puffin,Ocean,Fish,Burrow,Surface Dive,Least Concern,36-40,40, 74, 74,520-1000,760.0,,,,,,,,,,,,,,,, CHARADRIIFORMES, ALCIDAE
Trumpeter Swan,Lake/Pond,Plants,Ground,Dabbler,Least Concern,138-158,158, 203, 203,7700-12700,10200.0,1-9,1,9,,,,,,,,,,,,, ANSERIFORMES, ANATIDAE
Tree Swallow,Lake/Pond,Insects,Cavity,Aerial Forager,Least Concern,12-15,15, 30-35,35,16-25,20.5,4-7,4,7, 1-2 ,2 ,1.7-2,2,1.3-1.4,1.4,11-20,20,11,15-25,15,25, PASSERIFORMES, HIRUNDINIDAE
Turkey Vulture,Open Woodland,Carrion,Cliff,Soaring,Least Concern,64-81,81, 170-178,178,2000,2000,1-3,1,3, 1 , 1 ,6.5-7.5,7.5,4.4-5.3,5.3,28-40,40,28,60-84,60,84, ACCIPITRIFORMES, CATHARTIDAE
Tennessee Warbler,Forest,Insects,Ground,Foliage Gleaner,Least Concern,10-13,13, 20, 20,8-13,10.5,3-8,3,8,,,,,,,,,,,,, PASSERIFORMES, PARULIDAE
Tufted Titmouse,Forest,Insects,Cavity,Foliage Gleaner,Least Concern,14-16,16, 20-26,26,18-26,22.0,3-9,3,9, 1 , 1 ,1.7-2,2,1.4-1.6,1.6,12-14,14,12,15-16,15,16, PASSERIFORMES, PARIDAE
Townsend's Solitaire,Open Woodland,Insects,Ground,Flycatching,Least Concern,20-22,22,,,30-35,32.5,1-6,1,6,,,,,,,,,,,,, PASSERIFORMES, TURDIDAE
Thick-billed Murre,Ocean,Fish,Cliff,Surface Dive,Least Concern,45,45,,,750-1481,1115.5,,,,,,,,,,,,,,,, CHARADRIIFORMES, ALCIDAE
Indigo Bunting,Open Woodland,Insects,Shrub,Foliage Gleaner,Least Concern,12-13,13, 19-22,22,12-18,15.0,3-4,3,4, 1-3 ,3 ,1.7-2.1,2.1,1.3-1.5,1.5,11-14,14,11,8-14,8,14, PASSERIFORMES, CARDINALIDAE
Black-headed Grosbeak,Forest,Insects,Tree,Foliage Gleaner,Least Concern,18-19,19, 32, 32,35-49,42.0,2-5,2,5, 1 , 1 ,2.3-2.7,2.7,1.7-1.9,1.9,12-14,14,12,10-14,10,14, PASSERIFORMES, CARDINALIDAE
Hepatic Tanager,Forest,Insects,Tree,Flycatching,Least Concern,20,20, 32, 32,23-47,35.0,3-5,3,5,,,,,,,,,,,,, PASSERIFORMES, CARDINALIDAE
Brown-capped Rosy-Finch,Mountains,Seeds,Ground,Ground Forager,Least Concern,14-16,16, 33, 33,23-33,28.0,3-6,3,6,,,,,,,,,,,,, PASSERIFORMES, FRINGILLIDAE
Common Redpoll,Open Woodland,Seeds,Shrub,Foliage Gleaner,Least Concern,12-14,14, 19-22,22,11-20,15.5,2-7,2,7, 1-3 ,3 ,1.4-2,2,1.1-1.4,1.4,11,11,11,9-16,9,16, PASSERIFORMES, FRINGILLIDAE
Blue Grosbeak,Open Woodland,Insects,Shrub,Ground Forager,Least Concern,15-16,16, 28, 28,26-31,28.5,3-5,3,5, 1-2 ,2 ,1.9-2.4,2.4,1.6-1.7,1.7,12-13,13,12,9-10,9,10, PASSERIFORMES, CARDINALIDAE
Hoary Redpoll,Scrub,Seeds,Shrub,Foliage Gleaner,Least Concern,12-14,14,,,11-20,15.5,1-6,1,6,,,,,,,,,,,,, PASSERIFORMES, FRINGILLIDAE
House Finch,Town,Seeds,Tree,Ground Forager,Least Concern,13-14,14, 20-25,25,16-27,21.5,2-6,2,6, 1-6 ,6 ,1.6-2.1,2.1,1.3-1.5,1.5,13-14,14,13,12-19,12,19, PASSERIFORMES, FRINGILLIDAE
Black Rosy-Finch,Mountains,Seeds,Ground,Ground Forager,Least Concern,14-16,16, 33, 33,22-32,27.0,3-6,3,6,,,,,,,,,,,,, PASSERIFORMES, FRINGILLIDAE
Gray-crowned Rosy-Finch,Mountains,Seeds,Cliff,Ground Forager,Least Concern,14-21,21, 33, 33,22-60,41.0,2-6,2,6,,,,,,,,,,,,, PASSERIFORMES, FRINGILLIDAE
Cassin's Finch,Forest,Seeds,Tree,Ground Forager,Near Threatened,16,16, 25-27,27,24-34,29.0,3-6,3,6, 1-2 ,2 ,1.8-2.4,2.4,1.3-1.6,1.6,12,12,12,,,, PASSERIFORMES, FRINGILLIDAE
Zone-tailed Hawk,Open Woodland,Birds,Tree,Soaring,Least Concern,45-56,56, 119-140,140,119-140,129.5,1-3,1,3,,,,,,,,,,,,, ACCIPITRIFORMES, ACCIPITRIDAE
Evening Grosbeak,Forest,Seeds,Tree,Ground Forager,Least Concern,16-18,18, 30-36,36,53-74,63.5,2-5,2,5, 1-2 ,2 ,2-2.6,2.6,1.4-1.8,1.8,12-14,14,12,13-14,13,14, PASSERIFORMES, FRINGILLIDAE
Green-tailed Towhee,Scrub,Seeds,Shrub,Ground Forager,Least Concern,,,,,,,2-5,2,5, 1-2 ,2 ,1.8-2.6,2.6,1.5-1.8,1.8,11-13,13,11,11-14,11,14, PASSERIFORMES, EMBERIZIDAE
Henslow's Sparrow,Grassland,Insects,Ground,Ground Forager,Near Threatened,11-13,13, 20, 20,10-15,12.5,2-5,2,5,,,,,,,,,,,,, PASSERIFORMES, EMBERIZIDAE
Field Sparrow,Scrub,Insects,Ground,Ground Forager,Least Concern,12-15,15, 20, 20,11-15,13.0,1-5,1,5, 1-5 ,5 ,1.5-2.1,2.1,1.1-1.5,1.5,10-17,17,10,5-8,5,8, PASSERIFORMES, EMBERIZIDAE
Clay-colored Sparrow,Scrub,Seeds,Shrub,Foliage Gleaner,Least Concern,,,,,,,4,4,4, 1-2 ,2 ,1.7,1.7,1.3,1.3,10-14,14,10,7-9,7,9, PASSERIFORMES, EMBERIZIDAE
Golden-crowned Sparrow,Scrub,Insects,Ground,Ground Forager,Least Concern,15-18,18,,,30-33,31.5,3-5,3,5, 1-2 ,2 ,2-2.5,2.5,1.5-1.8,1.8,11-13,13,11,9-11,9,11, PASSERIFORMES, EMBERIZIDAE
Botteri's Sparrow,Grassland,Insects,Ground,Ground Forager,Least Concern,15-17,17, 22, 22,17-26,21.5,2-5,2,5,,,,,,,,,,,,, PASSERIFORMES, EMBERIZIDAE
House Sparrow,Town,Seeds,Cavity,Ground Forager,Least Concern,15-17,17, 19-25,25,27-29,28.0,1-8,1,8, 1-4 ,4 ,2-2.2,2.2,1.4-1.6,1.6,10-14,14,10,10-14,10,14, PASSERIFORMES, PASSERIDAE
Harris's Sparrow,Forest,Seeds,Ground,Ground Forager,Least Concern,17-20,20, 27, 27,26-49,37.5,3-5,3,5,,,,,,,,,,,,, PASSERIFORMES, EMBERIZIDAE
Bell's Sparrow,Scrub,Insects,Shrub,Ground Forager,Least Concern,12-15,15,,,15-22,18.5,1-4,1,4, 1-3 ,3 ,1.8-2,2,1.4-1.5,1.5,10-16,16,10,9-10,9,10, PASSERIFORMES, EMBERIZIDAE
Dickcissel,Grassland,Seeds,Shrub,Ground Forager,Least Concern,14-16,16, 25, 25,23-29,26.0,3-6,3,6,,,,,,,,,,,,, PASSERIFORMES, CARDINALIDAE
Grasshopper Sparrow,Grassland,Insects,Ground,Ground Forager,Least Concern,11-12,12,,,14-20,17.0,3-6,3,6,,,,,,,,,,,,, PASSERIFORMES, EMBERIZIDAE
Cassin's Sparrow,Grassland,Insects,Ground,Ground Forager,Least Concern,13-15,15, 20, 20,17-18,17.5,3-5,3,5,,,,,,,,,,,,, PASSERIFORMES, EMBERIZIDAE
American Tree Sparrow,Open Woodland,Seeds,Ground,Ground Forager,Least Concern,14,14, 24, 24,13-28,20.5,4-6,4,6,,,,,,,,,,,,, PASSERIFORMES, EMBERIZIDAE
Brewer's Sparrow,Scrub,Insects,Shrub,Foliage Gleaner,Least Concern,,,,,,,2-5,2,5, 1-2 ,2 ,1.6-1.7,1.7,1.2-1.3,1.3,10-12,12,10,6-9,6,9, PASSERIFORMES, EMBERIZIDAE
Horned Lark,Grassland,Seeds,Ground,Ground Forager,Least Concern,16-20,20, 30-34,34,28-48,38.0,2-5,2,5, 1-3 ,3 ,1.8-2.6,2.6,1.3-1.9,1.9,11-12,12,11,8-10,8,10, PASSERIFORMES, ALAUDIDAE
California Towhee,Scrub,Seeds,Shrub,Ground Forager,Least Concern,21-25,25, 29, 29,37-67,52.0,2-5,2,5, 1-3 ,3 ,2.2-2.5,2.5,1.6-1.9,1.9,11-14,14,11,6-11,6,11, PASSERIFORMES, EMBERIZIDAE
Chestnut-collared Longspur,Grassland,Insects,Ground,Ground Forager,Near Threatened,13-17,17,,,18-23,20.5,3-5,3,5,,,,,,,,,,,,, PASSERIFORMES, CALCARIIDAE
Canyon Towhee,Scrub,Seeds,Shrub,Ground Forager,Least Concern,,,,,,,2-6,2,6, 1-3 ,3 ,2.1-2.7,2.7,1.5-2,2,,,,,,, PASSERIFORMES, EMBERIZIDAE
Eastern Towhee,Scrub,Omnivore,Ground,Ground Forager,Least Concern,17.3-20.8,20.8, 20-28,28,32-52 ,42.0,2-6,2,6, 1-3 ,3 ,2-2.6,2.6,1.7-1.9,1.9,12-13,13,12,10-12,10,12, PASSERIFORMES, EMBERIZIDAE
Black-throated Sparrow,Scrub,Insects,Shrub,Ground Forager,Least Concern,12-14,14,,,11-15,13.0,,,,,,,,,,,,,,,, PASSERIFORMES, EMBERIZIDAE
Abert's Towhee,Deserts,Insects,Tree,Ground Forager,Least Concern,21-23,23, 28, 28,40-54,47.0,1-4,1,4,,,,,,,,,,,,, PASSERIFORMES, EMBERIZIDAE
Dark-eyed Junco,Forest,Seeds,Ground,Ground Forager,Least Concern,14-16,16, 18-25,25,18-30,24.0,3-6,3,6, 1-3 ,3 ,1.9-2.1,2.1,1.5-1.6,1.6,12-13,13,12,10-13,10,13, PASSERIFORMES, EMBERIZIDAE
Fox Sparrow,Forest,Insects,Ground,Ground Forager,Least Concern,,,,,,,2-5,2,5, 1 , 1 ,2.1-2.4,2.4,1.6-1.8,1.8,12-14,14,12,9-11,9,11, PASSERIFORMES, EMBERIZIDAE
Chipping Sparrow,Open Woodland,Seeds,Shrub,Ground Forager,Least Concern,12-15,15, 21, 21,11-16,13.5,2-7,2,7, 1-3 ,3 ,1.5-2,2,1.1-1.5,1.5,10-15,15,10,9-12,9,12, PASSERIFORMES, EMBERIZIDAE
Eurasian Tree Sparrow,Town,Seeds,Cavity,Ground Forager,Least Concern,14-15,15, 20-22,22,18-28,23.0,4-7,4,7,,,,,,,,,,,,, PASSERIFORMES, PASSERIDAE
Baird's Sparrow,Grassland,Seeds,Ground,Ground Forager,Least Concern,12,12, 23, 23,17-21,19.0,2-6,2,6,,,,,,,,,,,,, PASSERIFORMES, EMBERIZIDAE
Dunlin,Shore-line,Insects,Ground,Probing,Least Concern,16-22,22, 36-38,38,48-64,56.0,,,,,,,,,,,,,,,, CHARADRIIFORMES, SCOLOPACIDAE
Hudsonian Godwit,Shore-line,Insects,Ground,Probing,Near Threatened,36-42,42,,,196-358,277.0,2-4,2,4,,,,,,,,,,,,, CHARADRIIFORMES, SCOLOPACIDAE
Baird's Sandpiper,Shore-line,Insects,Ground,Probing,Least Concern,14-18,18, 35-38,38,27-63,45.0,,,,,,,,,,,,,,,, CHARADRIIFORMES, SCOLOPACIDAE
American Avocet,Marsh,Insects,Ground,Probing,Least Concern,43-47,47, 72, 72,275-350,312.5,3-4,3,4,,,,,,,,,,,,, CHARADRIIFORMES, RECURVIROSTRIDAE
American Woodcock,Forest,Insects,Ground,Probing,Least Concern,25-31,31, 42-48,48,116-279,197.5,1-5,1,5, 1 , 1 ,3.6-4.3,4.3,2.7-3.1,3.1,20-22,22,20,,,, CHARADRIIFORMES, SCOLOPACIDAE
Clapper Rail,Marsh,Insects,Ground,Probing,Least Concern,32-41,41,,,160-400,280.0,,,,,,,,,,,,,,,, GRUIFORMES, RALLIDAE
Black Turnstone,Shore-line,Insects,Ground,Ground Forager,Least Concern,22-25,25,,,100-170,135.0,,,,,,,,,,,,,,,, CHARADRIIFORMES, SCOLOPACIDAE
Black Rail,Marsh,Insects,Ground,Probing,Near Threatened,10-15,15, 22-28,28,29,29,,,,,,,,,,,,,,,, GRUIFORMES, RALLIDAE
Black Oystercatcher,Shore-line,Insects,Ground,Probing,Least Concern,42-47,47,,,500-700,600.0,1-4,1,4,,,,,,,,,,,,, CHARADRIIFORMES, HAEMATOPODIDAE
Black-necked Stilt,Shore-line,Insects,Ground,Probing,Least Concern,35-39,39, 71, 71,136-220,178.0,1-5,1,5, 1 , 1 ,3.7-5.1,5.1,2.6-3.6,3.6,21-26,26,21,,,, CHARADRIIFORMES, RECURVIROSTRIDAE
Greater Yellowlegs,Marsh,Insects,Ground,Probing,Least Concern,29-33,33, 60, 60,111-235,173.0,,,,,,,,,,,,,,,, CHARADRIIFORMES, SCOLOPACIDAE
Black-bellied Plover,Shore-line,Insects,Ground,Ground Forager,Least Concern,28-29,29, 59-60,60,160-277,218.5,1-5,1,5,,,,,,,,,,,,, CHARADRIIFORMES, CHARADRIIDAE
Buff-breasted Sandpiper,Grassland,Insects,Ground,Ground Forager,Near Threatened,18-20,20,,,46-78,62.0,2-5,2,5,,,,,,,,,,,,, CHARADRIIFORMES, SCOLOPACIDAE
American Golden-Plover,Grassland,Insects,Ground,Probing,Least Concern,24-28,28, 57, 57,122-194,158.0,4,4,4,,,,,,,,,,,,, CHARADRIIFORMES, CHARADRIIDAE
American Oystercatcher,Shore-line,Insects,Ground,Probing,Least Concern,40-44,44,,,400-700,550.0,2-4,2,4, 1 , 1 ,2.1-2.3,2.3,1.5-1.6,1.6,24-28,28,24,1,1,1, CHARADRIIFORMES, HAEMATOPODIDAE
Buff-bellied Hummingbird,Open Woodland,Nectar,Tree,Hovering,Least Concern,10-11,11, 14, 14,2-4,3.0,,,,,,,,,,,,,,,, APODIFORMES, TROCHILIDAE
Anna's Hummingbird,Open Woodland,Nectar,Tree,Hovering,Least Concern,10,10, 12, 12,3-6,4.5,2,2,2, 2-3 ,3 ,1.2-1.4,1.4,0.8-0.9,0.9,16,16,16,20,20,20, APODIFORMES, TROCHILIDAE
Calliope Hummingbird,Open Woodland,Nectar,Tree,Hovering,Least Concern,9,9, 11, 11,2-3,2.5,,,,,,,,,,,,,,,, APODIFORMES, TROCHILIDAE
Allen's Hummingbird,Open Woodland,Nectar,Shrub,Hovering,Least Concern,9,9, 11, 11,2-4,3.0,2,2,2,,,,,,,,,,,,, APODIFORMES, TROCHILIDAE
Broad-billed Hummingbird,Scrub,Nectar,Tree,Hovering,Least Concern,10,10, 12, 12,3-4,3.5,2-3,2,3,,,,,,,,,,,,, APODIFORMES, TROCHILIDAE
Blue-throated Hummingbird,Open Woodland,Nectar,Shrub,Hovering,Least Concern,11-12,12, 19, 19,6-8,7.0,1-2,1,2,,,,,,,,,,,,, APODIFORMES, TROCHILIDAE
Broad-tailed Hummingbird,Open Woodland,Nectar,Tree,Hovering,Least Concern,8-9,9, 13, 13,3-4,3.5,2,2,2, 1 , 1 ,1.2-1.5,1.5,0.8-1,1,16-19,19,16,21-26,21,26, APODIFORMES, TROCHILIDAE
Costa's Hummingbird,Deserts,Nectar,Shrub,Hovering,Least Concern,9,9, 11, 11,2-3,2.5,2-3,2,3,,,,,,,,,,,,, APODIFORMES, TROCHILIDAE
Cactus Wren,Deserts,Insects,Shrub,Ground Forager,Least Concern,18-22,22,,,32-47,39.5,,,,,,,,,,,,,,,, PASSERIFORMES, TROGLODYTIDAE
Black-chinned Hummingbird,Open Woodland,Nectar,Tree,Hovering,Least Concern,9,9, 11, 11,2.3-4,3.15,2,2,2, 1-3 ,3 ,1.2-1.4,1.4,0.8,0.8,12-16,16,12,21,21,21, APODIFORMES, TROCHILIDAE
House Wren,Open Woodland,Insects,Cavity,Foliage Gleaner,Least Concern,11-13,13, 15, 15,10-12,11.0,3-10,3,10, 1-2 ,2 ,1.4-1.9,1.9,1.1-1.4,1.4,9-16,16,9,15-17,15,17, PASSERIFORMES, TROGLODYTIDAE
Carolina Wren,Open Woodland,Insects,Cavity,Ground Forager,Least Concern,12-14,14, 29, 29,18-22,20.0,3-7,3,7, 1-3 ,3 ,1.7-2.1,2.1,1.4-1.6,1.6,12-16,16,12,10-16,10,16, PASSERIFORMES, TROGLODYTIDAE
Canyon Wren,Mountains,Insects,Cliff,Ground Forager,Least Concern,11-15,15, 19, 19,9-18,13.5,3-7,3,7,,,,,,,,,,,,, PASSERIFORMES, TROGLODYTIDAE
Bewick's Wren,Open Woodland,Insects,Cavity,Foliage Gleaner,Least Concern,13,13,,,8-12,10.0,3-8,3,8, 1-3 ,3 ,1.5-1.9,1.9,1.2-1.4,1.4,14-16,16,14,14-16,14,16, PASSERIFORMES, TROGLODYTIDAE
Cassin's Auklet,Ocean,Insects,Burrow,Surface Dive,Least Concern,23,23,,,150-200,175.0,,,,,,,,,,,,,,,, CHARADRIIFORMES, ALCIDAE
Harlequin Duck,River/Stream,Insects,Ground,Surface Dive,Least Concern,33-54,54, 56-66,66,500-726,613.0,3-9,3,9,,,,,,,,,,,,, ANSERIFORMES, ANATIDAE
Black Scoter,Ocean,Insects,Ground,Surface Dive,Near Threatened,43-53,53, 84, 84,862-1270,1066.0,5-10,5,10,,,,,,,,,,,,, ANSERIFORMES, ANATIDAE
Common Merganser,Lake/Pond,Fish,Cavity,Surface Dive,Least Concern,54-71,71, 86, 86,900-2160,1530.0,6-17,6,17, 1 , 1 ,6-7.2,7.2,4.3-5,5,28-35,35,28,1-2,1,2, ANSERIFORMES, ANATIDAE
Cackling Goose,Lake/Pond,Plants,Ground,Dabbler,Least Concern,55-75,75,,,950-3000,1975.0,2-8,2,8,,,,,,,,,,,,, ANSERIFORMES, ANATIDAE
Cinnamon Teal,Lake/Pond,Seeds,Ground,Dabbler,Least Concern,36-43,43,,,280-500,390.0,4-16,4,16,,,,,,,,,,,,, ANSERIFORMES, ANATIDAE
Common Loon,Lake/Pond,Fish,Ground,Surface Dive,Least Concern,66-91,91, 104-131,131,2500-6100,4300.0,1-2,1,2, 1 , 1 ,8.8-9,9,5.5-5.7,5.7,26-29,29,26,2,2,2, GAVIIFORMES, GAVIIDAE
American Coot,Lake/Pond,Plants,Floating,Surface Dive,Least Concern,39.4-42.9,42.9, 58.4-63.5,63.5,600-700,650.0,8-12,8,12, 1-2 ,2 ,4.3-5.5,5.5,2-3.7,3.7,23-25,25,23,,,, GRUIFORMES, RALLIDAE
Emperor Goose,Marsh,Plants,Ground,Ground Forager,Near Threatened,66-71,71,,,2813,2813,,,,,,,,,,,,,,,, ANSERIFORMES, ANATIDAE
